session_id,topic_id,type,init_ques_no,jumped_ques_no,choices,time_spent
session1,Overall,MCQ,1,NAN,NAN,5209
session1,Overall,MCQ,1,NAN,NAN,9105
session1,Overall,MCQ,1,NAN,NAN,5251
session1,Overall,MCQ,1,NAN,NAN,5537
session1,Overall,MCQ,1,NAN,NAN,61915
session1,Overall,MCQ,1,NAN,NAN,7628
session1,Overall,MCQ,1,NAN,NAN,4985
session1,Overall,MCQ,1,2,NAN,7466
session1,Overall,SCQ,2,3,1,13943
session1,Overall,SCQ,3,NAN,3,12937
session1,Overall,MCQ,1,2,NAN,3516
session1,Overall,SCQ,2,3,1,5850
session1,Overall,SCQ,3,NAN,NAN,4352
session1,Overall,MCQ,1,2,NAN,2078
session1,Overall,SCQ,2,3,1,3851
session1,Overall,SCQ,3,NAN,1,5934
session1,Overall,MCQ,1,2,NAN,2242
session1,Overall,SCQ,2,3,1,2780
session1,Overall,SCQ,3,NAN,1,5090
session1,Overall,MCQ,1,2,NAN,2937
session1,Overall,SCQ,2,NAN,1,4952
session1,Overall,MCQ,1,NAN,NAN,7725
session1,Overall,MCQ,1,NAN,NAN,2993
session1,Overall,MCQ,1,NAN,NAN,7451
session1,Overall,MCQ,1,NAN,NAN,1962
session1,Overall,MCQ,1,NAN,NAN,5981
session1,Overall,MCQ,1,NAN,1-2,11823
session1,Overall,MCQ,1,NAN,NAN,3083
session1,Overall,MCQ,1,2,4,4994
session1,Overall,SCQ,2,3,1,66092
session1,Overall,SCQ,3,NAN,1-2,10664
session1,Overall,MCQ,1,2,4,5811
session1,Overall,SCQ,2,3,1,6602
session1,Overall,SCQ,3,NAN,3,7196
session1,Overall,MCQ,1,2,4,5524
session1,Overall,SCQ,2,3,1,2924
session1,Overall,SCQ,3,NAN,3,28447
session1,Overall,MCQ,1,2,4,4107
session1,Overall,SCQ,2,3,1,2938
session1,Overall,SCQ,3,NAN,3,6657
session1,Overall,MCQ,1,2,4,4405
session1,Overall,SCQ,2,NAN,NAN,7558
session1,Overall,MCQ,1,2,4,4174
session1,Overall,SCQ,2,NAN,1,5527
session1,Overall,MCQ,1,2,4,3935
session1,Overall,SCQ,2,NAN,1,5085
session1,Overall,MCQ,1,2,4,5131
session1,Overall,SCQ,2,NAN,1,5197
session1,Overall,MCQ,1,NAN,4,6030
session1,Overall,MCQ,1,NAN,4,6360
session1,Overall,MCQ,1,NAN,4,4810
session1,Overall,MCQ,1,2,4,3948
session1,Overall,SCQ,2,NAN,NAN,4816
session1,Overall,MCQ,1,NAN,4,12940
session1,Overall,MCQ,1,2,4,4264
session1,Overall,SCQ,2,NAN,NAN,8222
session1,Overall,MCQ,1,NAN,4,11701
session1,Overall,MCQ,1,NAN,4,8676
